UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     16705301     RESP   2308 
     16705309     RESP   2428 
     16705317     RESP   2528 
     16705325     RESP   2623 
     16705333     RESP   2688 
     16705341     RESP   2838 
     16705349     RESP   2948 
     16705357     RESP   3028 
     16705365     RESP   3138 
     16705373     RESP   3223 
     16705381     RESP   3333 
     16705389     RESP   3408 
     16705397     RESP   3503 
     16705405     RESP   3588 
     16705413     RESP   3648 
     16705421     RESP   3713 
     16705429     RESP   3773 
     16705437     RESP   3863 
     16705445     RESP   3933 
     16705453     RESP   4033 
     16705461     RESP   4095 
     16705469     RESP   4095 
     16705477     RESP   4095 
     16705485     RESP   4095 
     16705493     RESP   4095 
     16705501     RESP   4095 
     16705509     RESP   4088 
     16705517     RESP   3988 
     16705525     RESP   3868 
     16705533     RESP   3753 
     16705541     RESP   3643 
     16705549     RESP   3538 
     16705557     RESP   3413 
     16705565     RESP   3288 
     16705573     RESP   3178 
     16705581     RESP   3078 
     16705589     RESP   2983 
     16705597     RESP   2858 
     16705605     RESP   2718 
     16705613     RESP   2578 
     16705621     RESP   2453  ECG_TRIGGER
     16705629     RESP   2318 
     16705637     RESP   2178 
     16705645     RESP   2033 
     16705653     RESP   1913 
     16705661     RESP   1773 
     16705669     RESP   1663 
     16705677     RESP   1548 
     16705685     RESP   1453 
     16705693     RESP   1368 
     16705701     RESP   1293 
     16705709     RESP   1188 
     16705717     RESP   1118 
     16705725     RESP   1038  PULS_TRIGGER
     16705733     RESP    993 
     16705741     RESP    958 
     16705749     RESP    908 
     16705757     RESP    878 
     16705765     RESP    848 
     16705773     RESP    828 
     16705781     RESP    798 
     16705789     RESP    768 
     16705797     RESP    748 
     16705805     RESP    723 
     16705813     RESP    703 
     16705821     RESP    688 
     16705829     RESP    663 
     16705837     RESP    633 
     16705845     RESP    638 
     16705853     RESP    613 
     16705861     RESP    603 
     16705869     RESP    593 
     16705877     RESP    583 
     16705885     RESP    578 
     16705893     RESP    558 
     16705901     RESP    553 
     16705909     RESP    528 
     16705917     RESP    528 
     16705925     RESP    538 
     16705933     RESP    513 
     16705941     RESP    558 
     16705949     RESP    563 
     16705957     RESP    528 
     16705965     RESP    498 
     16705973     RESP    438 
     16705981     RESP    378 
     16705989     RESP    308 
     16705997     RESP    248 
     16706005     RESP    208 
     16706013     RESP    158 
     16706021     RESP    128 
     16706029     RESP     98 
     16706037     RESP     93 
     16706045     RESP     68 
     16706053     RESP     58 
     16706061     RESP    103 
     16706069     RESP    173 
     16706077     RESP    298 
     16706085     RESP    433 
     16706093     RESP    623 
     16706101     RESP    758 
     16706109     RESP    948 
     16706117     RESP   1133 
     16706125     RESP   1303 
     16706133     RESP   1458 
     16706141     RESP   1593 
     16706149     RESP   1738 
     16706157     RESP   1878 
     16706165     RESP   2008 
     16706173     RESP   2148 
     16706181     RESP   2273 
     16706189     RESP   2398 
     16706197     RESP   2523 
     16706205     RESP   2653 
     16706213     RESP   2758 
     16706221     RESP   2888 
     16706229     RESP   3013 
     16706237     RESP   3128 
     16706245     RESP   3233 
     16706253     RESP   3358 
     16706261     RESP   3468 
     16706269     RESP   3623 
     16706277     RESP   3733 
     16706285     RESP   3828 
     16706293     RESP   3923 
     16706301     RESP   3968 
     16706309     RESP   4013 
     16706317     RESP   4078 
     16706325     RESP   4095 
     16706333     RESP   4095 
     16706341     RESP   4095 
     16706349     RESP   4095 
     16706357     RESP   4095 
     16706365     RESP   4095 
     16706373     RESP   4095 
     16706381     RESP   4095 
     16706389     RESP   4095 
     16706397     RESP   4095 
     16706405     RESP   4095 
     16706413     RESP   4095 
     16706421     RESP   4095 
     16706429     RESP   4095 
     16706437     RESP   3968 
     16706445     RESP   3853 
     16706453     RESP   3733 
     16706461     RESP   3653 
     16706469     RESP   3558 
     16706477     RESP   3458 
     16706485     RESP   3353 
     16706493     RESP   3238 
     16706501     RESP   3168 
     16706509     RESP   3018 
     16706517     RESP   2903 
     16706525     RESP   2783 
     16706533     RESP   2638 
     16706541     RESP   2573 
     16706549     RESP   2483 
     16706557     RESP   2358 
     16706565     RESP   2263 
     16706573     RESP   2173 
     16706581     RESP   2123 
     16706589     RESP   2058 
     16706597     RESP   1973 
     16706605     RESP   1888 
     16706613     RESP   1783 
     16706621     RESP   1713 
     16706629     RESP   1603 
     16706637     RESP   1508 
     16706645     RESP   1403 
     16706653     RESP   1278 
     16706661     RESP   1213 
     16706669     RESP   1138 
     16706677     RESP   1078 
     16706685     RESP   1003 
     16706693     RESP    978 
     16706701     RESP    898 
     16706709     RESP    853 
     16706717     RESP    803 
     16706725     RESP    758 
     16706733     RESP    738 
     16706741     RESP    698 
     16706749     RESP    678 
     16706757     RESP    688 
     16706765     RESP    768 
     16706773     RESP    963 
     16706781     RESP   1223 
     16706789     RESP   1493 
     16706797     RESP   1713 
     16706805     RESP   1878 
     16706813     RESP   1968 
     16706821     RESP   2038 
     16706829     RESP   2093 
     16706837     RESP   2108 
     16706845     RESP   2113 
     16706853     RESP   2093 
     16706861     RESP   2038 
     16706869     RESP   1978 
     16706877     RESP   1903 
     16706885     RESP   1868 
     16706893     RESP   1898 
     16706901     RESP   1833 
     16706909     RESP   1758 
     16706917     RESP   1683 
     16706925     RESP   1628 
     16706933     RESP   1578 
     16706941     RESP   1533 
     16706949     RESP   1433 
     16706957     RESP   1393 
     16706965     RESP   1333 
     16706973     RESP   1273 
     16706981     RESP   1223 
     16706989     RESP   1178 
     16706997     RESP   1143 
     16707005     RESP   1118 
     16707013     RESP   1088 
     16707021     RESP   1038 
     16707029     RESP   1003 
     16707037     RESP    988  PULS_TRIGGER
     16707045     RESP    993 
     16707053     RESP    988 
     16707061     RESP    988 
     16707069     RESP    968 
     16707077     RESP    918 
     16707085     RESP    878 
     16707093     RESP    833 
     16707101     RESP    848 
     16707109     RESP    773 
     16707117     RESP    743 
     16707125     RESP    698 
     16707133     RESP    633 
     16707141     RESP    643 
     16707149     RESP    583 
     16707157     RESP    553 
     16707165     RESP    548 
     16707173     RESP    533 
     16707181     RESP    513 
     16707189     RESP    503 
     16707197     RESP    483 
     16707205     RESP    478 
     16707213     RESP    448 
     16707221     RESP    408 
     16707229     RESP    353 
     16707237     RESP    308 
     16707245     RESP    258 
     16707253     RESP    178 
     16707261     RESP    163 
     16707269     RESP    138 
     16707277     RESP    118 
     16707285     RESP     93 
     16707293     RESP     73 
     16707301     RESP     48 
     16707309     RESP     38 
     16707317     RESP     43 
     16707325     RESP     43 
     16707333     RESP     43 
     16707341     RESP     28 
     16707349     RESP     38 
     16707357     RESP     68 
     16707365     RESP     83 
     16707373     RESP    108 
     16707381     RESP    123 
     16707389     RESP    128 
     16707397     RESP    123 
     16707405     RESP    143 
     16707413     RESP    133 
     16707421     RESP    123 
     16707429     RESP    143 
     16707437     RESP    148 
     16707445     RESP    193 
     16707453     RESP    213 
     16707461     RESP    248 
     16707469     RESP    283 
     16707477     RESP    308 
     16707485     RESP    353 
     16707493     RESP    438 
     16707501     RESP    473 
     16707509     RESP    543 
     16707517     RESP    628 
     16707525     RESP    733 
     16707533     RESP    848 
     16707541     RESP    973 
     16707549     RESP   1073 
     16707557     RESP   1223 
     16707565     RESP   1353 
     16707573     RESP   1498 
     16707581     RESP   1643 
     16707589     RESP   1773  PULS_TRIGGER
     16707597     RESP   1893 
     16707613     RESP   2193 
     16707621     RESP   2333 
     16707629     RESP   2483 
     16707637     RESP   2643 
     16707645     RESP   2793 
     16707653     RESP   2933 
     16707661     RESP   3073 
     16707669     RESP   3193 
     16707677     RESP   3303 
     16707685     RESP   3418 
     16707693     RESP   3508 
     16707701     RESP   3658 
     16707709     RESP   3738 
     16707717     RESP   3813 
     16707725     RESP   3893 
     16707733     RESP   3963 
     16707741     RESP   4095 
     16707749     RESP   4095 
     16707757     RESP   4095 
     16707765     RESP   4095 
     16707773     RESP   4095 
     16707781     RESP   4095 
     16707789     RESP   4095 
     16707797     RESP   4095 
     16707805     RESP   4095 
     16707813     RESP   4095 
     16707821     RESP   4095 
     16707829     RESP   4095 
     16707837     RESP   4095 
     16707845     RESP   4095 
     16707853     RESP   3988 
     16707861     RESP   3848 
     16707869     RESP   3718 
     16707877     RESP   3593 
     16707885     RESP   3468  PULS_TRIGGER
     16707893     RESP   3348 
     16707901     RESP   3218 
     16707909     RESP   3073 
     16707917     RESP   2933 
     16707925     RESP   2788 
     16707933     RESP   2653 
     16707941     RESP   2513 
     16707949     RESP   2393 
     16707957     RESP   2278 
     16707965     RESP   2138 
     16707973     RESP   2013 
     16707981     RESP   1878 
     16707989     RESP   1768 
     16707997     RESP   1653 
     16708005     RESP   1538 
     16708013     RESP   1448 
     16708021     RESP   1348 
     16708029     RESP   1283 
     16708037     RESP   1178 
     16708045     RESP   1088 
     16708053     RESP   1003 
